id,name,description,count_members
108468,КиноПоиск,"Раньше здесь было пять больших абзацев о том, что такое «КиноПоиск». Теперь всё и так ясно: КиноПоиск — это самый популярный киносайт Рунета. <br><br>За публикацию ссылок на другие сайты/группы/картинки/видео/мат бан!",1543408
356220,Новости из будущего,"Наши корреспонденты работают не только во всех уголках планеты, но и перемещаются во времени, чтобы донести до вас самые интересные события грядущего.<br><br>Создатель машины времени вернулся в прошлое, отдал себе чертежи машины времени, что позволило ему создать машину времени раньше времени.",545253
18403220,UsachevShow,"I was born in Chernobyl, grew up on a farm.<br><br>ПРАВИЛА ПОЛЬЗОВАНИЯ ЭТОЙ СТРАНИЦЕЙ http://vk.com/topic-18403220_24416639",88232
19138302,Оккупированные|Okkupert|Occupied|,"Сюжет сериала строится на том, что Норвегия, где к власти приходят «зеленые» политики, отказывается от добычи нефти и газа, после чего руководство Евросоюза, не желающее отказываться от норвежских энергоносителей, просит Россию напасть на Норвегию. Москва соглашается и захватывает норвежские нефтегазовые месторождения.",1996
20629724,Хабрахабр,"Хабрахабр основан в 2006 году. Издателем проекта является компания «Тематические Медиа».<br><br>Аудитория проекта — прогрессивно мыслящие люди, интересующиеся будущим IT-рынка в целом и интернет-экономики в частности. Хабрахабр будет одинаково интересен программистам и журналистам, рекламщикам и верстальщикам, аналитикам и копирайтерам, менеджерам высшего и среднего звена, владельцам крупных компаний и небольших фирм, а также всем тем, для кого IT — это не просто две буквы алфавита.<br><br>В данной группе нельзя материться и оскорблять других участников! Реклама и спам тоже не приветствуются.",586266
22844697,Eminem,"Ма́ршалл Брюс Мэ́терс III (род. 17 октября 1972), более известный под своими сценическими псевдонимами Éminem и Slim Shady — американский рэпер, актёр и музыкальный продюсер. Обладатель 15 премий «Грэмми». <br><br>По всему миру продано свыше 100 миллионов копий его альбомов, что делает Эминема одним из наиболее продаваемых музыкантов начала 2000-х и одним из самых популярных рэперов за все времена. Обнаружил Эминема рэпер и продюсер [club22847595|Dr. Dre]. Позже Эминем подписал контракт с его звукозаписывающим лейблом Aftermath Entertainment.<br><br>Вокруг его лирики происходит множество споров. Несмотря на успех его нашумевшего альбома The Marshall Mathers LP и четыре номинации на Грэмми, такие критики, как GLAAD обвинили его лирику в гомофобии и женоненавистничестве, в то время, как другие утверждали, что это промо-насилие. В то же самое время, Нобелевский лауреат по литературе Шеймас Хини высоко оценил Маршалла за «вербальную энергию» его поэзии и лирики, вызывающую интерес у публики.",70550
25232578,РБК,РБК — самый популярный сайт новостей <br>на русском языке,483880
28829822,Kill Me Please,,0
30101930,Rhymes &amp: Punches,Hip-Hop Community,117564
31118038,TRAP † TRSW,Революция музыкального сознания,269294
41171744,Starts&amp:Flops. Рупор проактивного образа жизни.,"Всё о бизнесе, карьере и саморазвитии. Доступно и качественно.<br><br>Мы вокруг:<br>YouTube http://bit.ly/startflop_yt<br>Telegram http://bit.ly/startflop_tm<br>Журнал http://bit.ly/sf_issuu<br>Навигация по материалам http://bit.ly/sf_menu<br><br>Поддержать проект:<br>Сбербанк: 4276 3800 1804 8202 (8 960 525 53 28)<br>Рокетбанк: 5321 3002 4001 7249<br>Яндекс: 41001970073316<br><br>Stay tuned.",11045
48940689,Олимпийские игры,Мы делаем Олимпийские игры и пишем о них здесь!,2195027
51618248,МОТОМОСКВА Это наш Город!,"МотоМосква - сообщество мотоциклистов города<br><br>Сайт: moto.msk.ru<br>Facebook: https://www.facebook.com/motomoskva<br>Твиттер: @mskmoto<br><br>Устали от пробок? Каждое лето утюжите раскаленный асфальт стольного града на двух колесах? Междурядье для вас это не просто ""мудаки, заколебали зеркала отрывать""? Вы знаете запахи этого города в дождь и жару, с закрытыми глазами отличите треху от кольцевой? Называете ТТК третьим гоночным кольцом Москвы и знаете, что на 220 фонари в Лефортовском сливаются в сплошные полосы? Смотровая, Гора, Трейн, СВАО, ТОП - это не просто звук? Называете трассы номерами с литерой М? Зимой валите по городу на скутерах и эндурах, не желая закрывать сезон? Мячково, Лидер, Фирса, Рейсвэй это повод погонять? А ""прохватить вечерком"" это часа на четыре выпасть из бытовой реальности на автострадах? Тогда нам по пути!<br><br>И еще. Считаете, что Вам есть что сказать землякам? Жгите, предлагайте информацию, новости. Если стоящая тема - одобрим и вывесим на всеобщее обозрение!<br><br>ГДЕ ПОЛУЧИТЬ КАРТУ МОТОМОСКВЫ:<br>1. Сеть магазинов МОТО.РУ<br>а) г. Москва, Проспект Мира, д. 81 <br>б) г. Москва, Ленинский проспект, д. 73/8 (вход со двора) <br>в) г. Москва, Нижегородская ул., д. 33  <br>2. Кафе ММ77 <br>г. Москва, Волгоградский проспект д. 32 к.8 <br><br>Каталог партнеров программы:<br>http://moto.msk.ru/ <br><br>ДЛЯ ПАРТНЕРОВ<br>//Всем, кто желает предложить скидки или привилегии обладателям карты мотомосквича, кто желает участвовать в программе, еще раздумывает о целесообразности и так далее!<br><br>Друзья, Специально для вас в ссылках группы выложена информация,<br> КАК СТАТЬ ПАРТНЕРОМ: <br>https://yadi.sk/d/NQeh8k6rpQr9w<br>Там вы найдете данные по программе и гарантийное письмо, которое нужно заполнить, поставить живую подпись и печать (при наличии), отсканировать и отправить на указанный в письме адрес, сопроводив кратким рассказом о себе.<br><br>Мы добавим Вас в базу наших партнеров, обязательно до вас доедем чтобы забрать оригинал, отфотографировать предмет вашей деятельности ну и проверить, как у вас дела=)//<br><br>ЛОГОТИП<br>// ВАЖНО. Если мы случайно заметим использование логотипа в корыстных или крамольных целях (попродавать, обоссать и так далее), последуют радикальные меры. Всех благ! Мы вас любим) //<br><br>ДЛЯ МОТОМОСКВИЧЕЙ<br><br>//СКАЧАТЬ АНКЕТУ МОЖНО ПО ССЫЛКЕ:<br>https://yadi.sk/i/4-EkZLc7gTte7<br><br>Что дают карты и зачем они нужны?<br><br>Они дадут ВСЕ - скидки в барах, магазинах, мотошколах, сервисах, мотоэвакуаторах и тд, они дадут оперативное информирование об акциях партнеров, мероприятиях, движухах, горячих сборах на громкие дтп, они станут универсальным ключем в мотомир для начинающих и полноценным решением по поиску наиболее выгодных предложений для опытных байкеров.//<br><br>Подписывайтесь, МотоМосквичи!<br>Скажем сразу, мы не имеем отношения к известным мотопабликам и по сути пабликом не являемся. Мы постим то, что хотим, что делаем и что видим. Зимой фапаем на картинки и планируем дела, летом - катаемся. <br><br>У нас тут вышло так, что за мат не баним, да и вообще особо не баним:) не сказать, что у нас тут только пафосные фотки или тьма рекламы, мы рассказываем про то, что нам кажется интересным. Все, что не чуждо байкерне Москвы и МО, вы можете найти на этой странице!",23233
54530371,Библиотека программиста,,125788
56440010,Нечто совершенно иное,,46447
56910779,9Geeky,,24740
57035274,у Боба,"СТРОГО 29+. МЫ ПРЕДУПРЕДИЛИ<br>шутки, юмор, ирония, сарказм, синонимы<br>Сотрудничество - bobfarber1976@gmail.com",4001
59198925,Кто убил Лору Палмер,"«Кто убил Лору Палмер» <br>Сайд-проект киноклуба «Синий ключ»<br>В наличии сериалы, кофе и бурные обсуждения<br><br>«Кто убил Лору Палмер» — студенческий клуб, в котором показывают и обсуждают сериалы. <br><br>Мы хотим доказать, что это не только возможно, но и необходимо. <br>Кино – прошлое, архив, правила и каноны.<br>Сериалы – новая форма существования, актуальность, осмысление правил и нарушение канонов. <br>Это будущее, которое уже наступило. <br><br>Сегодня сериалы глубоко проникли в повседневную культуру. Их авторитет не только не уступает, но превосходит современное искусство, кино и литературу. Заполняя графу «люди, которые меня вдохновляют», пользователи Фэйсбука указывают имена Уолтера Уайта (героя сериала Breaking bad) или Тома Кейна (героя сериала The Boss), наряду с Достоевским и Кафкой. Или вообще без них – ведь это всего лишь литература! <br><br>Название нашего клуба сознательно отсылает к доисторической эпохе сериала. Ведь именно этот вопрос больше всего волновал в начале 1990-х фанатов Дэвида Линча, открывших для себя непривычный формат бытования любимого зрелища. Но мы не хотим зарываться в историю, поэтому и не назвали наш клуб А вас, Штирлиц, я попрошу остаться! Для нас – и, конечно же, для вас – эпоха Твин Пикс и так достаточно далека. <br><br>На встречах клуба Кто убил Лору Палмер мы не ставим вопросы о сюжете и/или других так наз. «эстетических» составляющих сериала. Нас интересует экспликация политического подтекста, поиск скрытых следов или открытого доминирования социальной критики. Британский теоретик культуры Стюарт Холл предлагал рассматривать сериалы как продукт массовой культуры, в котором (де)шифруются и встречаются разнообразные потоки значений. <br><br>Наша задача – непрерывная рефлексия, систематизация значений, поиск их оригинальных и адаптирующих парадигм, а самое главное - языка, на котором можно говорить о сериалах. <br><br>Кто убил Лору Палмер является сайд-проектом киноклуба Синий ключ. Мы следуем главному условию основного проекта, где в роли спикера выступает приглашенный гость с авторской интерпретацией.<br><br>Если вы хотите получать анонсы от нашего клуба или поделиться своими предложениями, то пишите по адресу: ktoubillorupalmer@gmail.com",365
60095373,Признавашки ВШЭ,"Сходишь с ума от девушки или парня с потока? Давно боишься признаться кому-то в чувствах, не дающих тебе покоя по ночам? Пришло время перестать стесняться и забыть о своих страхах!  Обо всем сокровенном ты можешь написать здесь!<br><br>♥ Вы можете попросить администратора удалить ваш пост, если вдруг передумаете его публиковать. <br>♥ Гарантируется полная анонимность. Однако вы можете попросить админа опубликовать не анонимно.<br>♥ Всегда можете воспользоваться нашим Аском.",2175
60977681,"Творческое объединение ""БАРДАК""",Творческое объединение своей задачей ставит ОБЪЕДИНИТЬ (что следует из названия) ТВОРЧЕСКИХ ЛЮДЕЙ (любого рода занятий) для создания совместных проектов и просто общения.<br>Творите! Дружите! Дерзайте!,64
66825774,Бендеровское подполье Высшей школы экономики,Слава Высшей Школе Экономики!<br>Героям слава!,1397
67228047,Спящая ВШЭ,"Студент засыпает, просыпается лектор.",1383
67845382,Олимпиады по программированию,Информация об олимпиадах и конкурсах по программированию. При поддержке сообщества «Типичный программист».,3123
68050351,Антипропаганда — анализ выпусков новостей,"«Дайте мне средства массовой информации, и я из любого народа сделаю стадо свиней» - говорил министр пропаганды фашистской Германии. Со дня его смерти прошло уже больше полувека, но его взгляды на функции СМИ и сейчас разделяют многие работники медиасферы. С экранов телевизоров идет постоянный поток информации: нас убеждают, настраивают, нам навязывают – одним словом, нами манипулируют. Против таких приемов работы журналистов и направлено движение «Антипропаганда». <br><br>Мы анализируем выпуски новостей на федеральных телеканалах, отделяя факты от пропаганды, помогаем ориентироваться в огромном потоке новостей и фиксируем попытки манипуляции нашим мнением. <br><br>Основой методолоигии послужила книга «The international encyclopedia of propaganda» Роберта Коула. Это британский исследователь массовых коммуникаций, пропаганды и цензуры, автор множества статей и книг, в том числе, например, «военная и политическая пропаганда в двадцатом веке».<br>Анализ будет исключительно нейтральный и строго в соответствии с научными методами, своё мнение о происходящем мы выссказывать не будем, только факты.<br><br>У проекта три основных цели:<br><br>1. Рассказать адекватной аудитории о том, что воообще происходит в «зомбо-ящике». Многие ведь его не включали годами,<br>2. Дать инструменты адекватным людям убеждать тех, кто подвергся обработке пропаганды в том, что из них делают стадо свиней по известным, давно описаным методам,<br>3. Персонализировать пропагандистов. Мы будем стараться выяснить имена тех, кто делает пропаганду вместо новостей на федеральных каналах и публиковать их вместе с анализами сюжетов.<br><br>Рассказывайте знакомым об этом проекте и показывайте как ими манипулируют. Ведь как говорил все тот же известный пропагандист, «пропаганда утрачивает силу, как только становится явной».",24812
70568518,принцессы лалки,преключенея деснеевских пренцес принцав и злодеев,90344
70946927,Политика без купюр,"Нас будут ненавидеть и русские и украинцы. А нам будет все равно. Потому, что мы будем рассказывать правду, а она не всем будет нравиться. Добра вам!",157875
71168905,MOLG H.,Чёрный юмор для плохих людей.,17467
71899623,Silicon Valley | Кремниевая долина,"Силиконовая долина | Silicon Valley<br>Страна: США<br>Режиссер: Майк Джадж<br>Сценарий: Джон Альтшулер, Майк Джадж, Дэйв Крински<br>Продюсер: Джон Альтшулер, Майк Джадж, Дэйв Крински<br>Оператор: Джим Дено<br>Композитор: Джефф Кардони<br>Жанр: комедия<br>Премьера (мир): 6 апреля 2014",10291
73048120,ПОДСЛУШАНО ФКН ВШЭ | COMPUTER SCIENCE HSE,Любой из Вас может прислать свой секрет анонимно http://sprashivai.ru/overhear_cs<br>Так же друзья никто и ничто не мешает вам прислать истории в формате КМП или же поделиться своей радостью!,473
74404187,Образовач,"Новости науки. Написанные ровными руками, растущими из нужных мест.",339655
76477496,ПЛЮС,,553577
77762077,Бугурт-треды ВШЭ,"""Вышка по определению является вузом, вызывающим больше всего бугуртов у студентов"" <br>Ясин <br><br>Предлагайте свои бугурты в предложку<br>Если нужно указывать авторство -- пишите об этом",295
79419972,Неинтересные пересказы,"Первый, официальный и настоящий™ паблик, все остальные воруют у нас, гоните их, насмехайтесь над ними, уходите от них.<br><br>Произведение должно узнаваться не сразу.<br><br>Одинокий спойлер — это не пересказ. Хватит предлагать «корабль тонет», «после анального секса с негром нацист меняет взгляды» и «мужчина страдает от амнезии».<br><br>По возможности объясняйте, пожалуйста, в чём соль пересказа, иначе он может не пройти: администрация не всезнающая и может быть не в курсе, о чём идёт речь.<br><br>Хорошие примеры:<br>— Семь человек садятся в самолёт, закидываются снотворным и всю дорогу спят.<br>— Богатей-сирота избивает клоуна.<br>— Чтобы привлечь к себе внимание, одинокий отец кидается книгами в комнате дочери.<br>— Негр прочитал библию, начал всем об этом рассказывать.",39468
79749292,Веселые медузы,"Немного спонтанного АВТОРСКОГО юмора —  шутки, придуманные лично мной. Иногда они могут появляться  чуть раньше в дружественных пабликах с указанием авторства или в недружественных — без подписи и чуть позже.",9260
83759781,Мегамозг,Сообщество профессионалов.,18061
86301910,Футуристическая проститутка,,8428
87649471,Акулы бизнеса | Реалити-шоу,,9223
89806150,Рыбы пытаются читать,,28420
93429434,Такие дела,"«Такие Дела» — это информационный портал благотворительного фонда «Нужна Помощь».<br><br>Однажды, читая очередную журналистскую писанину на злободневную тему, Илья Ильич Обломов вскричал: «Человека мне дайте, человека!». Проект «Такие Дела» возвращает человека читателю. В фокусе нашего внимания — люди и судьбы на фоне явлений. Мы не рассказываем о большой политике и экономике, мы рассказываем о том, как большая политика и экономика отражаются на жизни конкретных людей. Наш проект популяризирует идеи взаимопомощи и самоорганизации, без которых невозможно построение полноценного гражданского общества.<br><br>Портал состоит из двух частей: Журнала и Фонда, что позволяет нам не только говорить о проблемах, но и предлагать системные пути их решения. Мы развиваем проекты благотворительных фондов по всей стране, привлекая к ним внимание и общественное финансирование.<br><br>Осознание проблемы — первый шаг к ее решению. Мы предлагаем нашим читателям сразу сделать и следующий шаг — превратить благие намерения в добрые дела.",13237
93551492,Созвездие Василисы Володиной,,92
97902875,еда не еда,,145403
101621324,Толстые собаки и цитаты о любви,только толстые собаки и цитаты о любви,25029
102902453,сегодня я опоздал на пары,студентам посвящается<br>___________________<br>предлагайте новости,1066
104586508,Плохие идеи для рисёча,"Хрестоматия бесполезных, глупых и сомнительных рисёч пропоузалс.",1180
106403873,странные слайды презентаций,,40570
106947980,Бабушка Надвое Стартапы,,75
109500345,Сомнительные поводы ходить на пары,,8
110200966,Зайка среднего достатка,,15004
110378627,мультики и муви пикчерс,,24035
90051042,Топ Twitter,"В эту группу робот автоматически выкладывает свежие твиты русского твиттера, которые за прошедшие полчаса вызвали наибольший отклик у аудитории. Это не пьедестал почета, не список твитов чемпионов. Это тренды. <br><br>Пока в режиме теста, периодически возможны проскакивания фигни, но мы работаем над этим",91203
1331201,Чемпионат | Championat.com,Официальная группа Чемпионат.com,746060
49489389,Lil HaRDy's Page (official),VK - http://vk.com/lil_hardy<br>Steam - http://steamcommunity.com/id/Lil_HaRDy/<br>sltv - http://dota2.starladder.tv/profile/18176<br>Вопросы сюда - http://ask.fm/LilloveM<br>Twitter - https://twitter.com/LilJke<br>http://wiki.teamliquid.net/dota2/Lil<br>https://steamcommunity.com/tradeoffer/new/?partner=106809101&amp:token=amNDkx3A<br>- tradeoffer<br>instagram - http://instagram.com/lilsummersoul/<br>STREAM - http://www.twitch.tv/lil_hardy<br>youtube - http://www.youtube.com/c/LilHaRDy7,16451
17568841,Телеканал Дождь,"Телеканал для тех, кому не наплевать<br><br>Дождь рассказывает о том, что действительно важно, и дает слово всем. Дождь — это не только новости, но еще музыка и фильмы, путешествия и социальные проекты, лекции и круглые столы. Дождь не решает за вас, Дождь вместе с вами ищет ответы на вопросы нашего непростого времени.<br><br>Дождь работает для неравнодушного, искреннего, ответственного зрителя. Наш зритель независим, как и сам телеканал.<br>И если вы тоже хотите действительно разбираться в том, что происходит, то присоединяйтесь к Дождю!<br><br>Если вы стали свидетелем интересного события или хотите рассказать о чем-то важном, пишите на novosti@tvrain.ru",388931
105148663,Цитатник 57-ой школы,Цитаты учителей замечательной школы номер 57,688
95125133,Филиал российских СМИ,,9859
87100272,Фонд борьбы с коррупцией (ФБК),"Мы, сотрудники и волонтеры Фонда борьбы с коррупцией, уверены: если искоренить коррупцию, жизнь каждого гражданина страны станет лучше. Для этого мы боремся за отмену мошеннических тендеров, расследуем случаи незаконного обогащения чиновников, обнародуем их и передаем дела в ответственные органы, подготавливаем и проводим экспертизу антикоррупционных законопроектов, создаем площадки, с помощью которых граждане могут сами заставить чиновников выполнять свою работу. Но бороться с невидимым врагом очень сложно - зачастую вопиющие случаи казнокрадства не получают должной огласки, а порой и вовсе замалчиваются. Не допустить этого - главная задача данного паблика.",4113
364976,СВОБОДНЫЕ НОВОСТИ,В стране цензура.<br>В этой группе мы выкладываем для Вас все самое достойное из прочитанного нами.<br>Будьте в курсе.<br><br>ТВИТТЕР: twitter.com/narodprotiv<br><br>FACEBOOK: facebook.com/narodprotiv<br><br>OK: ok.ru/narodprotiv<br><br>————————————————————<br>РЕКОМЕНДУЕМ ПОДПИСАТЬСЯ НА ПАБЛИКИ:<br><br>ПРАВА ЧЕЛОВЕКА vk.com/propravacheloveka<br><br>ОППОЗИЦИЯ vk.com/ruopp<br><br>АКЦИИ ПРОТЕСТА vk.com/protestactions<br><br>ПОЛИТИКА vk.com/politics_news<br><br>ВЛАСТЬ vk.com/pro_vlasti<br><br>ПОЛИТ юмор vk.com/polit_yumor<br>__________________________________,255942
30666517,Типичный программист | tproger,"Типичный программист — крупнейшее в сети ВКонтакте объединение людей, которым интересно программирование и всё, что с этим связано. Каждый день мы публикуем свежие новости IT-мира, пишем образовательные статьи, оперативно переводим зарубежные публикации, делаем подборки интересных ссылок, появившихся в Сети за сутки.",354129
